solis; v_naoh; ph_hcl; ph_as
0;0;1.37;1.60
1;400;1.40;1.74
2;800;1.47;2.04
3;1000;1.52;2.40
4;1200;1.59;2.71
5;1300;1.63;2.90
6;1400;1.68;3.06
7;1500;1.73;3.22
8;1600;1.80;3.37
9;1700;1.88;3.52
10;1800;1.97;3.68
11;1900;2.11;3.87
12;2000;2.31;4.10
13;2050;2.46;4.25
14;2100;2.70;4.46
15;2150;3.23;4.78
16;2200;5.93;5.48
17;2250;9.31;6.56
18;2300;10.32;8.40
19;2350;10.86;8.92
20;2400;11.15;9.18
21;2450;11.32;9.36
22;2500;11.43;9.49
23;2550;11.53;9.60
24;2600;11.60;9.70
25;2650;11.66;9.79
26;2700;11.72;9.87
27;2750;11.77;9.94
28;2800;11.81;10.01
29;2850;11.85;10.08
30;2900;11.88;10.15
31;2950;11.92;10.21
32;3000;11.95;10.28
33;3025;11.96;10.31
34;3050;11.98;10.34
35;3075;11.99;10.38
36;3100;12.00;10.41
37;3125;12.01;10.45
38;3150;12.02;10.48
39;3175;12.03;10.51
40;3200;12.04;10.55
41;3225;12.05;10.59
42;3250;12.06;10.63
43;3275;12.07;10.67
44;3300;12.08;10.71
45;3325;12.09;10.75
46;3350;12.10;10.79
47;3375;12.11;10.83
48;3400;12.12;10.88
49;3450;;10.97
50;3500;;11.06
51;3550;;11.16
52;3600;;11.25
53;3650;;11.34
54;3700;;11.42
55;3750;;11.49
56;3800;;11.56
57;3850;;11.62
58;3900;;11.67
59;3950;;11.72
60;4000;;11.76
61;4050;;11.80
62;4100;;11.83
63;4150;;11.86
64;4200;;11.90
65;4300;;11.95
66;4400;;12.00
67;4500;;12.04
68;4600;;12.08
69;4700;;12.11
70;4900;;12.19
71;5100;;12.22
72;5300;;12.26
73;5500;;12.30